Comment,id,Donny,Martha
"I feel the same way. It's been amazing to see all of this on screen, it's like shining a light on the dark corners of my brain and scrubbing it clean.",581,0,0
[deleted],938,0,0
"Oh wow that’s crazy, that song stuck out to me, it was both sad and creepy",429,0,0
"Well she was introduced as “Teresa”, which is a Hispanic name (not that it couldn’t be South Asian also) and the actress herself is Mexican so",1164,0,0
The catholic church is known for being rampant with sexual abuse. [link](https://en.wikipedia.org/wiki/Catholic_Church_sexual_abuse_cases),1203,0,0
Love the series but i agree with you.,1045,0,0
Is this from this episode or episode 7? I don't recall a viral video mentioned in this episode.,996,0,0
"At first I was like, wow this guy's helping him out of kindness but after a while, well before the actual assault, my gut feeling told me something's not right.",662,1,0
[removed],514,0,0
Glad I came here bc I'm watching now and was just about ready to tank this shit.,866,0,0
"I wonder who ""Darrien"" is in real life.",638,0,0
I was cringing the whole time. Made me feel so sorry for donny and want to strangle darrien (what a douchey fucking name) to death. I wonder if Martha will somehow murder or at least try to murder darrien. Man this series is incredible. One of the best shows I've seen lately.,576,1,0
This man is so broken.,1234,1,0
Deleted my accidental spoiler.,986,0,0
"He's not interested in her, he just likes the attention and adoration.",191,1,1
"Yeah - went on too long, could’ve shaved at least a good 2 minutes off at least. Think the confession could’ve came out more naturally and spontaneously- felt very rehearsed",1034,0,0
Just stop.,472,0,0
"Is that what you got from this? He’s clearly confused by the attack, which is very common with SA.",816,1,0
Okay DementedLucy28,1078,0,0
wait wym?? I finished the show btw so I don’t want to spoil anything but this literally means he’s not naive he knows exactly what he’s doing.,204,1,0
"grooming can happen to adults, i don’t know why you think they cant. it is victim blaming to deny that. this was a famous producer who was intentionally lying to a young man and promising him a successful future if “he did what he wanted” (darrien’s words before the cat bowl scene). that’s TEXTBOOK grooming. he was confused by his sexuality as most people are after they are raped or assaulted. i don’t know how that last paragraph was relevant.",716,1,0
Absolutely amazing series. I felt every possible type of emotion. I don't think I'll be able to forget it for a long time. Richard Gadd - if you're reading this - I want to thank you for sharing your story with the world and making this incredible show.,1206,1,0
Not sure something that happened can be a plot hole,117,0,0
Corey Feldman… is there more to that sentence?,614,0,0
Not hard to guess? That is why his son said he did not understand. The scene literally contradicts your point that it is instantly understandable.,1084,0,0
The scenes where he explains his coping mechanisms and his thoughts throughout were so painfully relatable. I just sat there shocked after the episode ended.,590,1,0
Oh I see I see! Makes sense :),673,0,0
SAME. It perfectly explained why Donny let the Martha situation go so far.,578,1,1
I thought he actually had sex with her?,927,1,1
Does Terri have a PENIS though? I think a straight guy wouldn’t be attracted to a person with a PENIS. I’m a straight woman and I wouldn’t be attracted to a person that looks a lot like a man but then has a VAGINA. Wouldn’t him being into a trans person make him pansexual? I thought that’s what pansexual is. Pansexual wouldn’t be straight or else like why come up with a whole new label pansexual.,531,1,0
He isn't allowing it to happen the guy gives him more and more drugs so he can't consent and the first few instances weren't so violent and he is being groomed,712,1,0
That viral video is the show we watched. He put his story in front of the whole world to see.,987,1,0
"He was Satan himself in that moment. And everything about it — the red lighting, the hallucinations from the drugs, the inability to escape the apartment in his substance-induced frenzy, the dilated pupils revealing the rapist as the monster he was. Entirely harrowing. As someone with trauma of my own, this episode dismantled me.",679,0,0
So disturbed already 😭,237,0,0
He's also the only narrator.,108,1,0
yes it really shook me when we found that out!!! the series depicted such raw emotions; it was such a heavy watch,752,0,0
Did I miss the reason why Donny is using a different name with Teri?? And why he’s dodging her question about him being at “the heart” in Camden.,296,1,0
"1. Be civil, polite and courteous. No trolling. Treat others with respect and kindness. This show is bound to elicit big feelings for many viewers. As contributors post and comment in this sub, treat each other with respect and kindness.",248,0,0
It never says that in the show does it? The real life Terri is American.,348,0,0
"i’m a therapist, so i hear about rape all day everyday! nonstop!",979,0,0
He could’ve just said that in the moment to appease him.,1148,1,0
"I thought the first episode was amazing, I can’t believe this is a true story. I’m really interested in how much of it is accurate, especially considering the main actor is the writer who actually went through this. Hopefully we get more discussion on here!",100,1,0
or maybe they are big in size....,386,0,0
"Yeah I don't really know how to put it. It is hard to top all the crazy stuff she does. She lies about being a lawyer and then obsessively stalks someone and leaves thousands of voicemails and all the other stuff she did. She's definitely on the deep end of crazy. But like...he knows that about her. He read everything about her online....and he still dove right in. Like who does that? Whether it was actually because he wanted to use a crazy person to get stories for his comedy career, or maybe wanted to use her for attention, or maybe he was using her for something else I don’t know… but it's kind of fucked up to do that to someone. And he had plenty of opportunities to step away or stop her, but he never quite sets a boundary until things have gone way too far. Early on he could have prevented her from hanging out in the bar by not allowing her to sit for free. Could have told her name to the police much earlier on than he did. He could have not given the crazy stalker lady his email. He could have not spied on her and a number of other things where he just kept sort of...letting her stalk him? And then the whole thing about him getting drugged and raped, and it looked like a pretty traumatic experience, but then goes back for more. He calls it ""grooming"" in his comedy monologue near the end, but I honestly don’t know what to make of all that. His explanation feels dishonest to me because I don't know if you can call it ""grooming"" when both people are trying to use each other for something. And then he listened to thousands of his stalker's voicemails. He basically turned into a maniac who began obsessing/fantasizing over the person who played a role in ruining his relationship with someone he loved ...another thing i don't even know where to begin with. And at least her craziness appears to be the result of trauma, which sort of makes sense. He gives his monologue at the comedy show near the end to explain why he does the things he does..and it’s because he wants fame and hates himself. Something just feels off like there's way more too it than that. And the whole story is from his point of view. I just get the sense he's an unreliable narrator and he's leaving a ton of shit out. This is definitely one of those situations where there's two sides to every story. Granted in this case the story is fascinating cause she's crazy and he's batshit insane.",1231,1,1
"Thanks for this! I feel like it was kind-of irresponsible of Netflix to not include a hard trigger warning, unless they did and they missed it.",659,0,0
That was so hard to watch. He is just encouraging her. But the bosses making a joke od it is so uncomfortably realistic as other men don't take male victims of women seriously.,278,1,1
This episode gave me such slowly building anxiety jfc. Incredible storytelling and acting all around,434,0,0
"Most victims of abuse have some kind of attachment to their abuser. It's often silly, irrational, or self-serving. If you ask a victim of an abusive ex why they stayed, they will tell you a vast majority of the time their mindset at the time was that they loved them or that they offered some kind of stability (a home, income, a job, etc.), or a combination of the two Maybe instead of an exciting love-life for him it was just the platonic relationship with this woman who made him feel special because she was crazy about him. She seemed to help his stand up routine by getting the audience warmed up, there are plenty of abuse victims who endured abuse because it improved their chances at stardom; victims of Harvey Weinstein and P. Diddy have similar stories although less direct. The next episode had something similar with a different abuser that was way more direct. Part of the rest of it seems to be he felt bad for her and felt scared of doing anything. The lack of sympathy from others did a lot to prevent him from doing anything. He co-workers thought she was harmless and wouldn't ban him from the bar. His exes and the police viewed it as a non-problem. He's even unsympathetic to Reddit commenters. Telling victims of abuse to *just leave* sounds easy enough but how difficult it is can be hard to understand.",368,1,1
[removed],249,0,0
The only thing in the show that made me laugh 😂😂 I was really hoping they would work things out,1094,0,0
"I thought it was so interesting that the show ended just how it started… like the similarities between Martha & Donny. The final scene is Donny walking into that bar, alone and sad, ordering a drink, not having his wallet, and the bartending giving it to him for free, likely because he pitied him. This is the exact same situation as how he met Martha- she came into the bar, sad and alone, he pitied her and gave her the free drink. It almost makes me think that Donny is now going to be obsessed with the nice bartender who gave him the free drink? I don’t really think that’s what happened next, but I do think he realized the similarities between himself then and there and the situation of how he first met Martha. I also thought it was interesting this lasted for about 3 years- 2014-2017 wasn’t it? It really puts it into perspective why he almost/ did ‘miss’ her, because she became so involved in his life, whether he liked it or not, he got so used to it. Overall, I really loved the series! Very great acting and thought provoking. So crazy and sad it’s based on a true story.",1193,1,1
Omg what if she sees this and starts up again. I’m scared! Haha Also…I was crying my eyes out when my neighbour knocked on my door to ask a favour. Very awkward.,1188,0,0
"Can someone explain the ending please? It was like Donny had come full circle? When the bartender offers him a drink on the house because he was down and didn’t have any money, did he realise how he himself could have been a “Martha”?",1218,1,0
Totally agree with you!,511,0,0
"Jesus. There were times that she actually misspelled iPhone, that wasn’t enough of a clue for you? This person lives in a shitty apartment, eats shitty food, has a drawer of shitty cellphones (that doesn’t have an iPhone btw), but yes, keep assuming she secretly keeps her iPhone at home and doesn’t bring it to the bar (especially when asking for Donny’s number). Good job.",945,1,1
"Top that off, the complete table turn with his female stalker is getting harassed by randos on the internet (which I don’t condone)",185,1,1
"Thank you, that's very kind. It kills me that young people are experiencing abuse right now and there's nothing I can do to stop it.",589,0,0
"Of course, you’re right. I asked the question after getting through episode 2 when it wasn’t exactly clear to me who the main character was. On episode 6 now and it’s clear.",104,0,0
"Gen Z and their tiktok brains, literally cannot go 30 minutes without looking at their phone and missing plot details",449,0,0
"Totally broke me when his dad asked ""would you think me less of a man"" and I realized what his dad was implying. brutal",1067,1,0
[removed],880,0,0
It's probably because Teri had a large shoe size. Trans women who went through testosterone puberty tend to have much larger feet than cis women.,445,0,0
[removed],562,0,0
"For Donny, yes. But realistically, he’s not ready to be a healthy relationship partner for her right now, so it’s better for her to have moved on.",1061,1,0
"My interpretation is that these acts diminish the severity of what happened to him. For instance, his explanation of why after getting SA'ed he heads to these gay clubs and has rough and domineering sex with men is to recognise to himself that his body is as worthless and meaningless as it was treated. If he is as deserving of hatred and desecration as what he experienced, then what he experienced was never that bad.",918,1,0
That doesn’t change that she’s brown and a minority and an immigrant and Martha said racist/xenophobic shit.,378,0,1
